char,code,x,y,components,dots,dashes,%dots,%dashes,type,usage rate,order,
A,.-,248,70,2,1,1,0.50,0.50,vowel,8.12,1,
B,-...,113,225,4,3,1,0.75,0.25,consenant,1.49,2,
C,-.-.,178,265,4,2,2,0.50,0.50,consenant,2.71,3,
D,-..,163,175,3,2,1,0.67,0.33,consenant,4.32,4,
E,.,28,25,1,1,0,1.00,0.00,vowel,12.02,5,
F,..-.,123,250,4,3,1,0.75,0.25,consenant,2.3,6,
G,--.,283,245,3,1,2,0.33,0.67,consenant,2.03,7,
H,....,68,180,4,4,0,1.00,0.00,consenant,5.92,8,
I,..,168,40,2,2,0,1.00,0.00,vowel,7.31,9,
J,.---,223,340,4,1,3,0.25,0.75,consenant,0.1,10,
K,-.-,223,200,3,1,2,0.33,0.67,consenant,0.69,11,
L,.-..,148,230,4,3,1,0.75,0.25,consenant,3.98,12,
M,--,308,135,2,0,2,0.00,1.00,consenant,2.61,13,
N,-.,288,85,2,1,1,0.50,0.50,consenant,6.95,14,
O,---,308,285,3,0,3,0.00,1.00,vowel,7.68,15,
P,.--.,198,285,4,2,2,0.50,0.50,consenant,1.82,16,
Q,--.-,228,315,4,1,3,0.25,0.75,consenant,0.11,17,
R,.-.,203,150,3,2,1,0.67,0.33,consenant,6.02,18,
S,...,83,115,3,3,0,1.00,0.00,consenant,6.28,19,
T,-,103,15,1,0,1,0.00,1.00,consenant,9.1,20,
U,..-,148,140,3,2,1,0.67,0.33,vowel,2.88,21,
V,...-,73,235,4,3,1,0.75,0.25,consenant,1.11,22,
W,.--,248,200,3,1,2,0.33,0.67,consenant,2.09,23,
X,-..-,148,275,4,2,2,0.50,0.50,consenant,0.17,24,
Y,-.--,183,315,4,1,3,0.25,0.75,consenant,2.11,25,
Z,--..,223,290,4,2,2,0.50,0.50,consenant,0.07,26,
1,-----,238,380,5,0,5,0.00,1.00,number,0,27,
2,.----,178,355,5,1,4,0.20,0.80,number,0,28,
3,..---,93,345,5,2,3,0.40,0.60,number,0,29,
4,...--,58,290,5,3,2,0.60,0.40,number,0,30,
5,....-,33,255,5,4,1,0.80,0.20,number,0,31,
6,.....,103,300,5,5,0,1.00,0.00,number,0,32,
7,-....,143,325,5,4,1,0.80,0.20,number,0,33,
8,--...,203,380,5,3,2,0.60,0.40,number,0,34,
9,---..,293,360,5,2,3,0.40,0.60,number,0,35,
0,----.,283,395,5,1,4,0.20,0.80,number,0,36,